Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
534,2 BHK Apartment,2,Semi-Furnished,Bachelors,1360 sqft,18000,humayun nagar,151.11111111111111
535,2 BHK Apartment,West,Furnished,Bachelors/Family,1200 sqft,23000,padmarao nagar hyderabadkarimnagar highway,133.33333333333334
536,3 BHK Builder Floor,1,Semi-Furnished,Bachelors,1200 sqft,17000,new bowenpally nh,133.33333333333334
537,3 BHK Apartment,4,Semi-Furnished,Bachelors/Family,1961 sqft,45000,punjagutta nh,217.88888888888889
538,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1400 sqft,25000,manikonda outer ring road,155.55555555555554
539,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1300 sqft,22000,shankara kranthi apartment kavadiguda nh,144.44444444444446
540,3 BHK Apartment,2,Unfurnished,Bachelors,1450 sqft,21000,shaikpet,161.11111111111111
541,3 BHK Apartment,1,Semi-Furnished,Bachelors,1711 sqft,33000,it heights khaja guda outer ring road,190.11111111111111
542,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,25000,himayath nagar nh,177.77777777777777
543,3 BHK Apartment,1,Semi-Furnished,Bachelors,2540 sqft,45000,narsingi outer ring road,282.22222222222223
544,3 BHK Apartment,2,Furnished,Bachelors,1400 sqft,17500,sun city bandlaguda chevella road,155.55555555555554
545,3 BHK Apartment,2,Unfurnished,Bachelors,1670 sqft,25000,upparpally hyderabad expressway,185.55555555555554
546,2 BHK Apartment,West,Semi-Furnished,Family,1314 sqft,30000,narsingi outer ring road,146.0
547,3 BHK Apartment,2,Unfurnished,Bachelors,2150 sqft,42000,the legend somajiguda i somajiguda nh,238.88888888888889
548,3 BHK Builder Floor,East,Unfurnished,Bachelors/Family,1500 sqft,35000,shivam rd,166.66666666666666
549,2 BHK Apartment,1,Furnished,Bachelors,900 sqft,26000,hakimpethyderabad,100.0
550,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2200 sqft,30000,miyapur nh,244.44444444444446
551,3 BHK Apartment,2,Semi-Furnished,Bachelors,2540 sqft,45000,ncc urban one narsingi outer ring road,282.22222222222223
552,3 BHK Apartment,North,Unfurnished,Bachelors,1715 sqft,28000,habsiguda nh,190.55555555555554
553,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,31000,my home avatar narsingi outer ring road,146.0
554,2 BHK Apartment,1,Semi-Furnished,Bachelors,1314 sqft,30000,my home avatar narsingi outer ring road,146.0
555,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1350 sqft,15000,bandlaguda nagole srisailam highway,150.0
556,4 BHK Apartment,From Nov '19,Furnished,Bachelors/Family,2000 sqft,35000,kphb road,222.22222222222223
557,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,22000,gopanapalli,177.77777777777777
558,3 BHK Builder Floor,From Oct '19,Semi-Furnished,Bachelors/Family,1530 sqft,25000,kukatpally housing board colony nh,170.0
559,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,13000,ramanthapur nh,144.44444444444446
560,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1300 sqft,15000,rahat nagaramberpet,144.44444444444446
561,2 BHK Builder Floor,Main Road,Unfurnished,Bachelors/Family,1000 sqft,14000,radha krishna nagarattapur attapur,111.11111111111111
562,3 BHK Apartment,3,Semi-Furnished,Bachelors,2100 sqft,27000,smr sartaj plaza bowenpally,233.33333333333334
563,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1834 sqft,34000,my home avatar narsingi outer ring road,203.77777777777777
564,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1665 sqft,20000,puppalaguda,185.0
565,2 BHK Apartment,3,Furnished,Bachelors/Family,1135 sqft,27000,jaya nagar kukatpally nh,126.11111111111111
566,2 BHK Builder Floor,1,Unfurnished,Bachelors,1000 sqft,11000,gajularamaram,111.11111111111111
567,3 BHK Apartment,1,Unfurnished,Bachelors,1350 sqft,20000,attapur,150.0
568,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1400 sqft,25000,ameerpet nh,155.55555555555554
569,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,38000,aparna sarovar nalagantla,200.0
570,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,28000,mehdipatnam,94.44444444444444
571,2 BHK Apartment,1,Furnished,Family,1210 sqft,15000,bachupally outer ring road,134.44444444444446
572,2 BHK Apartment,1,Furnished,Family,1500 sqft,25000,basheer bagh nh,166.66666666666666
573,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1614 sqft,16000,gajularamaram,179.33333333333334
574,3 BHK Apartment,1,Unfurnished,Bachelors,1650 sqft,30000,smr empire west marredpally,183.33333333333334
576,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1416 sqft,16000,nizampet,157.33333333333334
578,2 BHK Apartment,1,Unfurnished,Bachelors/Family,870 sqft,12500,vasathi anandi appa junction,96.66666666666667
579,2 BHK Apartment,1,Semi-Furnished,Bachelors,1250 sqft,40000,smr vinay technopolis madhapur,138.88888888888889
580,2 BHK Apartment,2,Unfurnished,Bachelors,1100 sqft,11000,pocharam nh,122.22222222222223
581,3 BHK Apartment,2,Semi-Furnished,Bachelors,1800 sqft,18000,nizampet,200.0
